 city_id,  city_name,  country_code,  lat,  lon,  cloudness,  wind_speed,  Max_temperature,  humidity,  date   
 4030556,  Rikitea,  PF,                  -23.12,  -134.97,                    12,  17.67,  78.34,                100,  1545515465   
 4011743,  Constitucion,  MX,                  23.99,  -104.67,                    5,  3.36,  71.6,                9,  1545511320   
 2075265,  Busselton,  AU,                  -33.64,  115.35,                    0,  15.66,  64.25,                100,  1545515729   
 2028164,  Deputatskiy,  RU,                  69.3,  139.9,                    20,  2.91,  -41.14,                0,  1545515748   
 2986626,  Plouzane,  FR,                  48.38,  -4.62,                    90,  11.41,  53.6,                93,  1545514200   
 2138555,  Poum,  NC,                  -20.23,  164.02,                    20,  2.8,  79.69,                100,  1545515752   
 3441894,  Maldonado,  UY,                  -34.91,  -54.96,                    20,  11.41,  68,                77,  1545514680   
 3369157,  Cape  Town,  ZA,                  -33.93,  18.42,                    75,  16.11,  69.8,                88,  1545512400   
 2206939,  Bluff,  NZ,                  -46.6,  168.33,                    0,  9.06,  54.13,                100,  1545515760   
 3689325,  Mutis,  CO,                  6.23,  -77.4,                    92,  7.49,  77.62,                100,  1545515762   
 3347019,  Namibe,  AO,                  -15.19,  12.15,                    24,  4.14,  72.04,                100,  1545515764   
 2022572,  Khatanga,  RU,                  71.98,  102.47,                    48,  17.22,  -18.51,                81,  1545515628   
 3412093,  Vestmannaeyjar,  IS,                  63.44,  -20.27,                    12,  6.6,  33.79,                97,  1545515769   
 2110227,  Butaritari,  KI,                  3.07,  172.79,                    68,  4.7,  81.71,                100,  1545515712   
 2206939,  Bluff,  NZ,                  -46.6,  168.33,                    0,  9.06,  54.13,                100,  1545515760   
 3691954,  Sechura,  PE,                  -5.56,  -80.82,                    0,  14.43,  79.82,                70,  1545515775   
 3547930,  Mantua,  CU,                  22.29,  -84.28,                    0,  4.25,  77.12,                56,  1545515729   
 4035715,  Avarua,  CK,                  -21.21,  -159.78,                    75,  11.41,  84.2,                74,  1545512400   
 6148373,  Sioux  Lookout,  CA,                  50.1,  -91.92,                    90,  11.41,  15.8,                85,  1545514980   
 5855927,  Hilo,  US,                  19.71,  -155.08,                    90,  8.05,  75.02,                78,  1545511980   
 2325161,  Ozubulu,  NG,                  5.95,  6.85,                    8,  7.83,  79.78,                44,  1545515787   
 3831208,  Qaanaaq,  GL,                  77.48,  -69.36,                    0,  4.59,  -17.52,                74,  1545515555   
 1524298,  Aksu,  KZ,                  52.04,  76.93,                    0,  6.71,  -2.21,                77,  1545514200   
 4031574,  Provideniya,  RU,                  64.42,  -173.23,                    32,  6.93,  3.86,                100,  1545515798   
 3366880,  Hermanus,  ZA,                  -34.42,  19.24,                    8,  2.91,  61.01,                93,  1545515597   
 5969025,  Haines  Junction,  CA,                  60.75,  -137.51,                    48,  2.35,  -1.32,                81,  1545515802   
 4020109,  Atuona,  PF,                  -9.8,  -139.03,                    48,  14.32,  78.2,                100,  1545515494   
 1282256,  Hithadhoo,  MV,                  -0.6,  73.08,                    0,  8.72,  82.34,                100,  1545515634   
 2015306,  Tiksi,  RU,                  71.64,  128.87,                    0,  10.4,  -32.37,                56,  1545515808   
 2155415,  New  Norfolk,  AU,                  -42.78,  147.06,                    75,  12.75,  62.6,                51,  1545514200   
 1488903,  Turukhansk,  RU,                  65.8,  87.96,                    20,  2.91,  -48.43,                0,  1545515814   
 2122605,  Okhotsk,  RU,                  59.36,  143.24,                    88,  5.82,  4.04,                100,  1545515816   
 1636022,  Martapura,  ID,                  -3.41,  114.85,                    64,  9.51,  77.66,                100,  1545515818   
 6170031,  Tuktoyaktuk,  CA,                  69.44,  -133.03,                    90,  3.36,  1.4,                84,  1545512400   
 932183,  Quthing,  LS,                  -30.4,  27.7,                    0,  1.9,  55.25,                75,  1545515823   
 3877949,  Osorno,  CL,                  -40.57,  -73.14,                    40,  5.82,  68,                60,  1545512400   
 4030556,  Rikitea,  PF,                  -23.12,  -134.97,                    12,  17.67,  78.34,                100,  1545515465   
 4030556,  Rikitea,  PF,                  -23.12,  -134.97,                    12,  17.67,  78.34,                100,  1545515465   
 2163355,  Hobart,  AU,                  -42.88,  147.33,                    75,  12.75,  62.6,                51,  1545514200   
 2077963,  Albany,  AU,                  -35.02,  117.88,                    40,  4.92,  60.8,                93,  1545514200   
